0	0
0.01	1.338176531e-15
0.02	1.338114407e-12
0.03	7.527746194e-11
0.04	1.302500498e-09
0.05	1.180178408e-08
0.06	7.096611441e-08
0.07	3.212992545e-07
0.08	1.180868695e-06
0.09	3.69800197e-06
0.1	1.019863713e-05
0.11	2.535871842e-05
0.12	5.784089155e-05
0.13	0.0001226181948
0.14	0.0002440608971
0.15	0.000459783103
0.16	0.000825135395
0.17	0.001418096882
0.18	0.002344178968
0.19	0.003740823338
0.2	0.005780680148
0.21	0.008673110934
0.22	0.01266329184
0.23	0.01802840643
0.24	0.02507061352
0.25	0.0341067414
0.26	0.04545497345
0.27	0.05941911739
0.28	0.07627135446
0.29	0.09623460723
0.3	0.1194658121
0.31	0.1460414117
0.32	0.1759462836
0.33	0.2090671011
0.34	0.2451907979
0.35	0.2840084163
0.36	0.3251241963
0.37	0.368069357
0.38	0.4123196685
0.39	0.4573156484
0.4	0.5024840653
0.41	0.5472593933
0.42	0.5911039441
0.43	0.6335255767
0.44	0.6740921405
0.45	0.7124420967
0.46	0.7482910763
0.47	0.7814344209
0.48	0.8117460088
0.49	0.8391738683
0.5	0.863733212
0.51	0.8854975992
0.52	0.90458894
0.53	0.9211670133
0.54	0.9354190908
0.55	0.9475501498
0.56	0.9577740396
0.57	0.9663058474
0.58	0.9733555923
0.59	0.9791232833
0.6	0.983795293
0.61	0.987541941
0.62	0.9905161418
0.63	0.9928529455
0.64	0.9946697982
0.65	0.9960673473
0.66	0.997130635
0.67	0.9979305392
0.68	0.9985253443
0.69	0.9989623467
0.7	0.9992794224
0.71	0.999506504
0.72	0.9996669314
0.73	0.9997786581
0.74	0.9998553024
0.75	0.9999070473
0.76	0.9999413941
0.77	0.9999637836
0.78	0.9999780984
0.79	0.9999870616
0.8	0.9999925487
0.81	0.9999958265
0.82	0.9999977328
0.83	0.9999988093
0.84	0.9999993977
0.85	0.9999997079
0.86	0.999999865
0.87	0.9999999409
0.88	0.9999999757
0.89	0.9999999907
0.9	0.9999999967
0.91	0.999999999
0.92	0.9999999997
0.93	0.9999999999
0.94	1
0.95	1
0.96	1
0.97	1
0.98	1
0.99	1
